[2025-01-22T13:37:40.411741+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411791+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411839+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411886+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411933+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.411979+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412025+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412072+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:40.412119+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:40) [] []
[2025-01-22T13:37:50.472397+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:37:50) [] []
[2025-01-22T13:38:00.531066+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531186+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531231+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531260+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531332+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531365+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531392+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531419+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531446+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531471+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531497+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531522+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531547+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531573+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531616+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531642+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531668+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531693+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531719+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531745+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531770+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531795+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531820+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531844+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531870+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531895+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531943+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.531986+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532013+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532038+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532064+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532088+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532113+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532138+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532163+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532188+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532212+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532238+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:00.532262+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:00) [] []
[2025-01-22T13:38:10.570913+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:10) [] []
